Element,0,1,2,3,4,5,6,7,8
,I,II,III,IV,V,VI,VII,VIII,IX
H,109679,,,,,,,,
He,198311,438909,,,,,,,
Li,43487,610079,987661.0139,,,,,,
Be,75193,146883,1241257,1756018.81,,,,,
B,66928,202887,305931,2091972,2744107.933,,,,
C,90820,196663,386241,520175,3162423,3952061.746,,,
N,117226,238750,382672,624866,789537,4452723,5380089.932,,
O,109837,283271,443085,624382,918657,1114004,5963073,7028394.947,
F,140525,282059,505774,703110,921480,1267606,1493632,7693707,8897242.908
Ne,173930,330389,511544,783890,1018250,1273820,1671750,1928447,9644841
Na,41449,381390,577654,797970,1116300,1389110,1681700,2130850,2418500
Mg,61671,121268,646402,881285,1139940,1506300,1814870,2144820,2645380
Al,48278,151863,229446,967804,1240684,1536400,1949900,2295760,2663340
Si,65748,131838,270139,364093,1345070,1655690,1988730,2448640,2833300
P,84581,159452,243601,414923,524463,1777891,2125800,2497100,3002900
S,83559,188233,281130,380870,585514,710195,2266050,2651900,3063600
Cl,104591,192070,320970,429430,545840,781900,921096,2809280,3233080
Ar,127110,222848,328550,480560,603660,736300,1003450,1157056,3408480
K,35010,255073,369427,491330,666700,802000,948200,1249100,1418063
Ca,49306,95752,410642,542595,680230,877400,1026000,1187600,1520640
Sc,52922,103237,199677,592732,741620,892700,1113000,1275000,1452000
Ti,55073,109494,221736,348973,800900,964100,1134660,1374900,1549000
V,54412,118030,236410,376730,526532,1033400,1215660,1399800,1661200
Cr,54576,132971,249700,396500,560200,731020,1292830,1490230,1690070
Mn,59960,126145,271550,413000,584000,771100,961440,1576600,1789630
Fe,63738,130655,247220,442900,604900,798370,1007928,1218380,1884000
Co,63565,137795,270200,413500,641200,822700,1040000,1273000,1501300
Ni,61620,146542,283800,443000,613500,871000,1065000,1307000,1558000
Cu,62317,163669,297140,462800,644000,831000,1121000,1339000,1597000
Zn,75769,144893,320390,480490,666000,871000,1080000,1403000,1637000
Ga,48388,165466,247820,510070,693700,909000,1136000,1370000,1702000
Ge,63713,128521,274693,368720,729930,934800,1169000,1423000,1714000
As,78950,149932,228650,404500,506250,977500,1186000,1452000,1718000
Se ,78658,170960,255650,346390,550900,659980,1252800,1484000,1766000
Br,95285,174140,281250,385390,480670,704850,831000,1553500,1807000
Kr,112914,196475,289050,410100,521800,633100,880200,1014665,1879000
Rb,33691,220105,,,,,,,
Sr,45932,88965,345879,,,,,,
Y,50146,,,,,,,,
Zr,53508,105900,,,,,,,
Nb,54514,,,,,,,,
Mo,57204,130300,,,,,,,
Tc,57422,,,,,,,,
Ru,59366,,,,,,,,
Rh,60160,,,,,,,,
Pd,67241,,,,,,,,
Ag,61106,173283,280900,,,,,,
Cd,72540,136375,302200,,,,,,
In,46670,152200,226191,,,,,,
Sn,59233,118024,246047,328550,,,,,
Sb,69431,134100,204248,,,,,,
Te,72669,,,,,,,,
I,84295,154304,238500,,,,,,
Xe,97834,169175,250400,340400,,,,,
Cs,31406,186777,,,,,,,
Ba,42035,80686,289100,,,,,,
Nd,44562,,,,,,,,
Hf,55048,,,,,,,,
Ta,60891,,,,,,,,
W,63428,,,,,,,,
Re,63182,,,,,,,,
Os,68059,,,,,,,,
Ir,72324,,,,,,,,
Pt,72258,,,,,,,,
Au,74409,,,,,,,,
Hg,84184,151284,278200,,,,,,
Tl,49267,164765,,,,,,,
Pb,59820,121245,257592,341435.1,,,,,
Bi,58762,134720,206242,,,,,,
